Company Name,Description,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Exchange,Ticker,Year Founded,Revenue,Gross Profit,Net Income,Enterprise Value,EBITDA,Market Cap,HQ City,HQ State/Province,HQ Country
Pou Chen (TAI: 9904),"Pou Chen Corp manufactures athletic shoes, casual shoes, and shoe components for large, international brands. It also has a retail business that sells predominantly brand-licensed footwear, apparel, and sporting goods to consumers in China. The retail business sells through the company's nearly 8,000 retail counters and stores in addition to its e-commerce platforms. Shoe sales to international brands make up roughly half of the company's total revenue. Geographically, most of the company's revenue comes from customers located in Asia and the United States. Pou Chen's manufacturing facilities are primarily in China, Vietnam, and Indonesia.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,Footwear*,TAI,9904,1969,"9,579.32","2,484.94",410.57,"6,998.41","1,141.82","3,656.80",Taichung,,Taiwan
C&A Mode,"Owner and operator of a chain of clothing stores. The company focuses on offering affordable clothing for men, women and children through its physical retail stores across Europe, China, Mexico and Brazil, as well as its online platform.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Internet Retail, Specialty Retail",,,1841,"8,800.00",,,,,,Dusseldorf,,Germany
Old Navy,"Manufacturer and provider of clothing and accessories.The company offers a wide range of apparel and accessories for children, men, and women, enabling families to purchase all their clothing in one store.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing",,,,"8,800.00",,,,,,San Francisco,California,United States
Dick's Sporting Goods (NYS: DKS),"Founded in 1948, Dick's Sporting Goods operated 732 namesake stores in 46 states at the end of the third quarter of fiscal 2018. It also owns and operates 129 specialty stores, including Golf Galaxy and Field & Stream concept stores. Namesake Dick's stores offer a broad assortment of sporting goods equipment, apparel, and footwear across a wide range of price points. Most stores are located in shopping centers in regional shopping areas, as well as in freestanding locations and malls.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Footwear, Internet Retail, Specialty Retail*",NYS,DKS,1948,"8,436.57","2,437.78",319.86,"3,822.63",686.00,"3,376.70",Coraopolis,Pennsylvania,United States
Avon Celli,"Manufacturer of woolen garments. The company's woolen garments include knitwear, stockings, bathing suit, cashmere clothes, enabling customers to buy quality based woolen garments.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,,,1922,"7,500.90",,,,,,Milan,,Italy
Hanesbrands (NYS: HBI),"Hanesbrands manufactures basic and athletic apparel under brands including Hanes, Champion, Playtex, Bali, and Bonds. The company sells wholesale to discount, mid-market, and department store retailers as well as direct to consumers. Hanesbrands is vertically integrated as it produces more than 70% of its products in company-controlled factories in more than three dozen nations. Hanesbrands distributes products in the Americas, Europe, and Asia-Pacific. The company was founded in 1901 and is based in Winston-Salem, North Carolina.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Clothing, Specialty Retail*",NYS,HBI,1901,"6,803.96","2,656.52",553.08,"8,505.31",973.35,"6,116.09",Rural Hall,North Carolina,United States
Hermes International (PAR: RMS),"Hermes is a 180-year-old family-controlled luxury goods company best known for its Birkin and Kelly bags. Its biggest segments are leather goods and saddlery, accounting for around half of revenue; clothes and accessories (21% of sales); silk and textiles (10%); and other products such as perfumes, watches, jewellery, and home furnishings. Hermes has a record of smooth sales growth, with no sales decline over the past 10 years. It has around 300 stores globally, of which it owns and operates around 200.",Business Products and Services (B2B),Commercial Services,Other Commercial Services,"Accessories, Clothing, Footwear, Other Commercial Services*",PAR,RMS,1837,"6,786.14","4,748.09","1,579.32","59,633.02","2,630.13","69,164.25",Paris,,France
ULTA Beauty (NAS: ULTA),"Ulta Salon Cosmetics & Fragrance is a North American beauty retailer for cosmetics, skin-care products, fragrance, hair-care products, and salon services. The company offers products from over 500 beauty brands across all categories and price points, including its own private label. Additionally, Ulta offers full-service salon in every store, featuring hair, skin, and brow services. Its stores are predominantly located in convenient and high-traffic locations. A typical Ulta store has more than 20,000 prestige, mass, and professional beauty products.",Consumer Products and Services (B2C),Apparel and Accessories,Luxury Goods,"Internet Software, Luxury Goods*, Personal Products",NAS,ULTA,1990,"6,716.62","2,409.31",658.56,"16,845.32","1,133.55","19,603.85",Bolingbrook,Illinois,United States
Burlington Stores (NYS: BURL),"The third- largest American off-price apparel and home fashion retail firm (with 629 stores as of the end of fiscal 2017), Burlington Stores offers an assortment of products from over 5,000 brands through an everyday low price approach that undercuts conventional retailers' regular prices by up to 65%. The company focuses on providing a treasure hunt experience, with a quickly changing array of merchandise in a relatively low-frills shopping environment. In fiscal 2017, 23% of sales came from women's ready-to-wear apparel, 22% from accessories and footwear, 20% from menswear, 16% from youth apparel and baby, 14% from home décor, and 5% from coats. All sales come from the United States.",Consumer Products and Services (B2C),Retail,Department Stores,"Accessories, Clothing, Department Stores*",NYS,BURL,1972,"6,668.48","2,800.36",414.75,"12,581.15",781.46,"9,792.56",Burlington,New Jersey,United States
Lao Feng Xiang Company (SHG: 600612),"Lao Feng Xiang Co Ltd is engaged in the manufacture and sale of gold jewelry. It is also engaged in the manufacture and distribution of gold arts and crafts, and other related products.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Luxury Goods",SHG,600612,1992,"6,628.36",553.53,187.64,"2,380.25",363.43,"2,740.30",Shanghai,,China
Deichmann,"Owner and operator of a Dutch shoe store intended to manufacture and trade German and European shoes. The company's products include shoes, handbags, rucksacks, scarves and stockings, made up of different color, sizes and fabric, enabling customers to get fashionable, quality products at a very reasonable price.",Business Products and Services (B2B),Commercial Products,Distributors/Wholesale,"Accessories, Clothing, Distributors/Wholesale*, Distributors/Wholesale (B2C), Footwear",,,1913,"6,582.14",,,,,,Essen,,Germany
Ascena Retail Group (NAS: ASNA),"Ascena Retail Group Inc is a national specialty retailer of apparel for women and tween girls. The company operates, through its owned subsidiaries, e-commerce operations and stores in the United States, Canada, and Puerto Rico. It has four operating segments: Premium Fashion, Value Fashion, Plus Fashion and Kids Fashion. Ascena generates most of its revenues from Premium Fashion segment.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing, Specialty Retail",NAS,ASNA,1962,"6,554.20","3,726.20",-72.60,"1,888.72",353.10,211.40,Mahwah,New Jersey,United States
Dillard's (NYS: DDS),"Dillard's Inc is an American fashion apparel, cosmetics and home furnishings retailer. Dillard's stores offer a large variety of merchandise and feature products from both national and exclusive brand sources. The company also operates a general contracting construction company, CDI Contractors. CDI Contractors' business includes constructing and remodeling stores for Dillards. The merchandise selections include exclusive brand merchandise such as Antonio Melani, Gianni Bini, Daniel Cremieux, Roundtree & Yorke, and private-label merchandise, among others. The company operates in two business segment that are Retail Operations and Construction. The Retail Operations segment generate maximum revenue for the company.",Consumer Products and Services (B2C),Retail,Department Stores,"Accessories, Clothing, Department Stores*",NYS,DDS,1938,"6,503.30","2,211.80",170.30,"2,454.48",486.30,"1,906.66",Little Rock,Arkansas,United States
Ralph Lauren Corporation (NYS: RL),"Ralph Lauren markets, designs, sources, and distributes a variety of apparel and accessories through department stores, specialty retailers, and its own chain of retail stores and outlets. The core brand names include Polo, Ralph Lauren, and Lauren. Other subbrands include Women's Polo, Ralph Lauren Purple Label, Blue Label, RLX, Polo Sport, and Chaps. The company also operates its own portfolio of retail stores under the Ralph Lauren and Club Monaco brands.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,NYS,RL,1967,"6,336.50","3,893.00",440.60,"7,133.43",844.60,"9,452.72",New York,New York,United States
Belle International Holdings,"Manufacturer and retailer of footwear, sportswear and apparel in China. The company sells a broad range of footwear and apparel products under their own brand names and also distributes products to other retail brand outlets.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,"Accessories, Footwear*, Specialty Retail",,,1991,"6,209.98","3,373.36",357.86,"4,693.55",754.24,,Shenzhen,,China
Carhartt,"Manufacturer and distributor of apparel and accessories. The company offers an online platform for their customers to purchase jackets, winter wear, shirts, pants and other accessories for men, women and kids.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing, Footwear, Internet Retail",,,1889,"6,000.00",,,,,,Dearborn,Michigan,United States
Fubu,"Operator of an apparel retail company intended to design and market sports clothing and accessories. The company's line of apparel includes caps, head bands, gloves, jackets, sweaters and related sportswear that are designed in a way to promote hip-hop fashion famous in America, enabling customers to browse, order and buy funky and trending sports apparel and accessories via an online retail platform.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Internet Retail",,,1992,"6,000.00",,,,,,New York,New York,United States
Tapestry (New York) (NYS: TPR),"Tapestry is a designer and retailer of handbags, apparel, footwear, and accessories. Approximately 57% of sales came from North American Coach retail and wholesale distribution in fiscal 2018. Coach also sells its products through international-owned retail, foreign department stores, and international wholesale-serviced specialty shops. Acquisitions include strong brands like Stuart Weitzman (6% of revenue in fiscal 2018) and Kate Spade (22% of revenue in fiscal 2018).",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing, Luxury Goods",NYS,TPR,1941,"5,988.10","4,050.70",729.10,"10,318.61","1,144.90","8,969.02",New York,New York,United States
Zalando (ETR: ZAL),"Zalando, founded in 2008, is Europe's biggest pure-play online fashion platform. Zalando is present in 15 European countries, and its major market is the DACH region, comprising Germany, Austria, and Switzerland, which accounts for slightly less than half of revenue. The company commands slightly over 1% of European apparel sales and 8% market share in European online apparel sales. It has eight fulfilment centres (with an additional three under construction) and presents around 2,000 brands on its platform. It mainly sells third-party brands, but own labels contribute a midteens percentage of revenue. In 2017, Zalando had 23 million active users (5% of the population in countries where the firm has a presence and 10% of the population in the core DACH region) and 2.6 billion site visits.",Consumer Products and Services (B2C),Retail,Internet Retail,"Clothing, Internet Retail*, Other Apparel",ETR,ZAL,2008,"5,885.62","2,529.82",103.77,"12,455.15",218.15,"9,618.88",Berlin,,Germany
Puma,"Puma SElls footwear, apparel, and accessories under the Puma and Cobra Golf brand names. Footwear is the company's leading category. Puma also licenses its brand name for fragrances, eyewear, and watches. Nearly a quarter of the company's sales are direct to consumer through Puma's retail stores, factory outlets, and online channel. Remaining sales are wholesale to Puma's retail partners. Most of the company's revenue is generated in the Americas and the Europe, Middle East, and Africa geographic segments.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,"Accessories, Clothing, Footwear*",,,1948,"5,485.30","2,654.44",221.14,"6,753.90",479.11,"8,502.88",Herzogenaurach,,Germany
Under Armour (NYS: UAA),"Under Armour markets athletic apparel, footwear, and gear and owns technology assets in Connected Fitness. The brand made its name by developing performance apparel made of synthetic microfiber, designed to wick perspiration away from the skin and help regulate body temperature. Although Under Armour is primarily a wholesaler to sporting goods retailers, it also operates 230 factory-house stores and 80 brand-house stores across the globe. Roughly 22% of total revenue is generated outside the U.S., including in Europe, Japan, and China.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Footwear",NYS,UAA,1995,"5,193.19","2,340.47",-46.30,"8,217.96",147.55,"8,774.94",Baltimore,Maryland,United States
Capri Holdings (NYS: CPRI),"Capri Holdings Ltd, formerly Michael Kors Holdings Ltd designs and manufactures apparel, footwear, and accessories ( primarily handbags). Products are positioned as luxury goods & classified under three collections. The Michael Kors Collection and MICHAEL Michael Kors are the women's collections and are distinguished from each other by their price points. Michael Kors Mens is the men's collection. Most sales are through one of two channels: directly through its company-operated retail stores (and e-commerce websites), or through wholesale to department and specialty stores. The firm licenses products such as watches, jewelry, eyewear, and fragrances. Production is carried out across Asia and Europe, and sales are concentrated in the Americas, Europe, and Asia along with additional markets.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*",NYS,CPRI,1981,"5,073.80","3,096.90",567.70,"6,429.97",706.20,"6,585.96",New York,New York,United States
Louis Vuitton Malletier,"Designer of luxury goods. The company designs a variety of luxury goods including leather goods, shoes, watches, jewelry, accessories sunglasses and books.",Business Products and Services (B2B),Commercial Products,Distributors/Wholesale,"Distributors/Wholesale*, Luxury Goods",,,1853,"5,058.91","1,789.16","2,213.40",,"1,881.10",,Paris,,France
Coupang,"Provider of an online retailing platform designed to help leading retailers and brands to monetize their social fanbases. The company's platform offers a diverse selection of merchandise including baby products, fashion apparel, beauty products and food items in addition to tickets for travel or cultural events, enabling vendors to reach a large number consumers and increase their online market, while providing consumers with a single source for convenient, online shopping.",Consumer Products and Services (B2C),Retail,Internet Retail,"Accessories, Clothing, Internet Retail*",,,2010,"5,000.00",,,,,,Seoul,,South Korea
Shimamura Co. (TKS: 8227),"Shimamura Co Ltd is a Japanese apparel retailer. Its core business is Fashion Center Temura, which has over 1,000 stores and sells items for families, primarily to housewives in their twenties to fifties. Fashion Center Temura focuses on low price private brands. Stores are in residential areas in the suburbs and in large cities, including Tokyo and Osaka. Shimamura has more than 500 stores under other brand names that include Casual and Shoes Avel, Baby/Chilren's Goods Birthday, Chambre, and Divero. The company's stores are primarily in Japan, but it has some brands in Taiwan and Shanghai.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,TKS,8227,,"4,969.17","1,612.64",176.35,"1,610.49",300.96,"3,107.59",Saitama,,Japan
Lojas Americanas (BSP: LAME3),"Lojas Americanas SA is a Brazilian retail chain involved in operating department stores. The business is divided into three segments: physical trade, which sells retail goods through Lojas Americanas and Express stores; electronic commerce, which sells electronic goods; and other, which is engaged in various other activities. The company operates under two brands: Lojas Americanas and Express.",Consumer Products and Services (B2C),Retail,Department Stores,"Clothing, Department Stores*, Electronics (B2C), Household Products",BSP,LAME3,,"4,840.17","1,657.99",104.11,"9,540.97",644.89,"6,597.93",Rio de Janeiro,RJ,Brazil
JD Sports Fashion (LON: JD.),"JD Sports Fashion PLC is a U.K. retailer of branded sportswear and fashionwear. The company has stores in the United Kingdom, mainland Europe, and outside Europe. The offering includes internationally brands, such as Nike, Adidas, and The North Face, and own-brand labels, such as McKenzie, Carbrini, Supply & Demand and The Duffer of St George. The store network consists of various shops: Size?, Footpatrol, Chausport, Sprinter, Scotts, Tessuti, Cloggs, Mainline, and Ultimate Outdoors, among others. Stores are specialized: Footpatrol is a sneaker provider; Size? offers footwear, apparel, and accessories; and Chausport operates throughout France selling international footwear brands, such as Nike.",Business Products and Services (B2B),Commercial Services,Other Commercial Services,"Clothing, Footwear, Other Commercial Services*, Specialty Retail",LON,JD.,1981,"4,904.75","2,388.58",338.17,"5,633.16",586.87,"6,181.89",Bury,England,United Kingdom
AMOREPACIFIC Ventures (KRX: 090430),"AmorePacific Corp is a Korean beauty, household, and healthcare goods producer. The product categories are moisturizer, eye care, serum and ampoule, cushion and coverage, cleanser, toner and fluid, masque, sun care, and special care. Its most well-known brands are AmorePacific, Sulwhasoo, Laneige, and Etude House. Most of the firm's revenue is generated in Korea, followed by China, Europe, and North America. The company has research centers not only in Korea, but also internationally in countries such as France, Japan, and China.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Food Products, Personal Products",KRX,090430,2011,"4,801.92","3,496.43",302.24,"10,377.58",644.92,"11,009.98",Seoul,Jung-gu,South Korea
Skechers Usa (NYS: SKX),"Skechers USA Inc is a lifestyle footwear company under the Skechers GO brand name. Products offered include various styles of women's shoes, men's shoes, girls' shoes, boys' shoes, performance shoes and work shoes. Allied products offered are apparel, bags, eyewear, toys, and more. Its products are available for sale at department and specialty stores, athletic and independent retailers, boutiques and internet retailers. Geographic areas in which its products are sold include United States, Canada, Other International that comprise of Asia, Central America, Europe, North America, and South America. Income is derived from the sale of footwear and royalties earned from licensing the Skechers brand.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,Footwear*,NYS,SKX,1992,"4,662.65","2,244.19",301.04,"2,885.13",537.28,"4,706.84",Manhattan Beach,California,United States
Sports Direct International (LON: SPD),"Sports Direct International PLC is a U.K. sport goods retailer. The company operates stores in the United Kingdom and continental Europe, including premium lifestyle stores in the U.K. The diversified portfolio consists of globally recognized brands, such as Dunlop, Lonsdale, Nike, Adidas, Under Armour, Puma, Karrimor, Kangol, Slazenger, Everlast, No Fear, and Firetrap, among others. Sports Direct International sells through stand-alone stores and multi-fascia retail spaces, department stores, and online. The premium lifestyle portfolio operates under the Flannels, Cruise, USC, and Van Mildert fascias.",Business Products and Services (B2B),Commercial Services,Other Commercial Services,"Clothing, Footwear, Other Commercial Services*",LON,SPD,1982,"4,614.32","1,903.22",58.54,"2,776.36",463.62,"2,013.48",Shirebrook,England,United Kingdom
